	RowNumber	StudentId	Rating	Geography	Gender	Age	Discussion	CurrentValue	AnnouncementsView	HasOtherActiveCourse	IsActiveMember	EstimatedValue	Target	Predictions - Succeed or Not	Predictions - Probability to Succeed education	Predictions - Succeed or Fail Desc
0	1	15634638	619	France	Female	42	2	0.0	1	1	1	101348.88	1	0	0.28384322	Fail
1	2	15647347	608	Spain	Female	41	1	83807.86	1	0	1	112542.58	0	0	0.20369326	Fail
2	3	15619340	502	France	Female	42	8	159660.8	3	1	0	113931.57	1	1	0.8644372	Succeed
3	4	15701390	699	France	Female	39	1	0.0	2	0	0	93826.63	0	0	0.1064175	Fail
4	5	15737924	850	Spain	Female	43	2	125510.82	1	1	1	79084.1	0	0	0.14233437	Fail
5	6	15574048	645	Spain	Male	44	8	113755.78	2	1	0	149756.71	1	0	0.18980233	Fail
6	7	15592567	822	France	Male	50	7	0.0	2	1	1	10062.8	0	0	0.089656934	Fail
7	8	15656184	376	Germany	Female	29	4	115046.74	4	1	0	119346.88	1	1	0.9636905	Succeed
8	9	15792401	501	France	Male	44	4	142051.07	2	0	1	74940.5	0	0	0.08209182	Fail
9	10	15592425	684	France	Male	27	2	134603.88	1	1	1	71725.73	0	0	0.048165653	Fail
10	11	15767857	528	France	Male	31	6	102016.72	2	0	0	80181.12	0	0	0.035035517	Fail
11	12	15737209	497	Spain	Male	24	3	0.0	2	1	0	76390.01	0	0	0.03275877	Fail
12	13	15632300	476	France	Female	34	10	0.0	2	1	0	26260.98	0	0	0.07363094	Fail
13	14	15691519	549	France	Female	25	5	0.0	2	0	0	190857.79	0	0	0.062929794	Fail
14	15	15600918	635	Spain	Female	35	7	0.0	2	1	1	65951.65	0	0	0.035446286	Fail
15	16	15644002	616	Germany	Male	45	3	143129.41	2	0	1	64327.26	0	0	0.21017802	Fail
16	17	15737488	653	Germany	Male	58	1	132602.88	1	1	0	5097.67	1	1	0.8416882	Succeed
17	18	15788254	549	Spain	Female	24	9	0.0	2	1	1	14406.41	0	0	0.02881503	Fail
18	19	15661543	587	Spain	Male	45	6	0.0	1	0	0	158684.81	0	0	0.4835761	Fail
19	20	15569018	726	France	Female	24	6	0.0	2	1	1	54724.03	0	0	0.026312346	Fail
20	21	15577693	732	France	Male	41	8	0.0	2	1	1	170886.17	0	0	0.03893158	Fail
21	22	15597981	636	Spain	Female	32	8	0.0	2	1	0	138555.46	0	0	0.06621121	Fail
22	23	15699345	510	Spain	Female	38	4	0.0	1	1	0	118913.53	1	0	0.31839782	Fail
23	24	15725773	669	France	Male	46	3	0.0	2	0	1	8487.75	0	0	0.09177216	Fail
24	25	15625083	846	France	Female	38	5	0.0	1	1	1	187616.16	0	0	0.22076772	Fail
25	26	15738227	577	France	Male	25	3	0.0	2	0	1	124508.29	0	0	0.012939612	Fail
26	27	15736852	756	Germany	Male	36	2	136815.64	1	1	1	170041.95	0	0	0.20288198	Fail
27	28	15700808	571	France	Male	44	9	0.0	2	0	0	38433.35	0	0	0.118017524	Fail
28	29	15728729	574	Germany	Female	43	3	141349.43	1	1	1	100187.43	0	0	0.3919696	Fail
29	30	15656336	411	France	Male	29	0	59697.17	2	1	1	53483.21	0	0	0.07525395	Fail
30	31	15589511	591	Spain	Female	39	3	0.0	3	1	0	140469.38	1	1	0.7748355	Succeed
31	32	15706588	533	France	Male	36	7	85311.7	1	0	1	156731.91	0	0	0.082087815	Fail
32	33	15750217	553	Germany	Male	41	9	110112.54	2	0	0	81898.81	0	0	0.23930451	Fail
33	34	15659464	520	Spain	Female	42	6	0.0	2	1	1	34410.55	0	0	0.094540015	Fail
34	35	15732999	722	Spain	Female	29	9	0.0	2	1	1	142033.07	0	0	0.030634169	Fail
35	36	15794207	475	France	Female	45	0	134264.04	1	1	0	27822.99	1	1	0.52743226	Succeed
36	37	15788484	490	Spain	Male	31	3	145260.23	1	0	1	114066.77	0	0	0.056608483	Fail
37	38	15729635	804	Spain	Male	33	7	76548.6	1	0	1	98453.45	0	0	0.035487227	Fail
38	39	15717462	850	France	Male	36	7	0.0	1	1	1	40812.9	0	0	0.09367807	Fail
39	40	15585804	582	Germany	Male	41	6	70349.48	2	0	1	178074.04	0	0	0.04808386	Fail
40	41	15619396	472	Spain	Male	40	4	0.0	1	1	0	70154.22	0	0	0.24714549	Fail
41	42	15738184	465	France	Female	51	8	122522.32	1	0	0	181297.65	1	1	0.73727196	Succeed
42	43	15687982	556	France	Female	61	2	117419.35	1	1	1	94153.83	0	0	0.33312893	Fail
43	44	15755232	834	France	Female	49	2	131394.56	1	0	0	194365.76	1	1	0.63280183	Succeed
44	45	15684207	660	Spain	Female	61	5	155931.11	1	1	1	158338.39	0	0	0.3084458	Fail
45	46	15754885	776	Germany	Female	32	4	109421.13	2	1	1	126517.46	0	0	0.07914363	Fail
46	47	15602316	829	Germany	Female	27	9	112045.67	1	1	1	119708.21	1	0	0.23666036	Fail
47	48	15771609	637	Germany	Female	39	9	137843.8	1	1	1	117622.8	1	0	0.3406166	Fail
48	49	15766241	550	Germany	Male	38	2	103391.38	1	0	1	90878.13	0	0	0.22355051	Fail
49	50	15771909	776	Germany	Female	37	2	103769.22	2	1	0	194099.12	0	0	0.11847496	Fail
50	51	15616586	698	Germany	Male	44	10	116363.37	2	1	0	198059.16	0	0	0.21724208	Fail
51	52	15768229	585	Germany	Male	36	5	146050.97	2	0	0	86424.57	0	0	0.105888635	Fail
52	53	15683589	788	France	Female	33	5	0.0	2	0	0	116978.19	0	0	0.05264443	Fail
53	54	15702334	655	Germany	Male	41	8	125561.97	1	0	0	164040.94	1	1	0.5039186	Succeed
54	55	15569626	601	Germany	Male	42	1	98495.72	1	1	0	40014.76	1	1	0.64303946	Succeed
55	56	15760897	619	France	Male	43	1	125211.92	1	1	1	113410.49	0	0	0.1749425	Fail
56	57	15630089	656	France	Male	45	5	127864.4	1	1	0	87107.57	0	0	0.4063962	Fail
57	58	15647127	725	Germany	Male	19	0	75888.2	1	0	0	45613.75	0	0	0.16315605	Fail
58	59	15623980	511	Spain	Female	66	4	0.0	1	1	0	1643.11	1	1	0.57339317	Succeed
59	60	15804807	614	France	Male	51	4	40685.92	1	1	1	46775.28	0	0	0.45390198	Fail
60	61	15651316	742	Germany	Male	35	5	136857.0	1	0	0	84509.57	0	0	0.2948478	Fail
61	62	15773505	687	Germany	Female	27	9	152328.88	2	0	0	126494.82	0	0	0.08583424	Fail
62	63	15702050	555	Spain	Male	33	1	56084.69	2	0	0	178798.13	0	0	0.07245871	Fail
63	64	15751244	684	Spain	Male	56	8	78707.16	1	1	1	99398.36	0	0	0.17412806	Fail
64	65	15592497	603	Germany	Male	26	4	109166.37	1	1	1	92840.67	0	0	0.12859885	Fail
65	66	15789520	751	Germany	Female	36	6	169831.46	2	1	1	27758.36	0	0	0.07190574	Fail
66	67	15696097	581	Germany	Female	34	1	101633.04	1	1	0	110431.51	0	0	0.30979228	Fail
67	68	15641618	735	Germany	Male	43	10	123180.01	2	1	1	196673.28	0	0	0.11469814	Fail
68	69	15638460	661	Germany	Female	35	5	150725.53	2	0	1	113656.85	0	0	0.068293564	Fail
69	70	15755684	675	France	Female	21	8	98373.26	1	1	0	18203.0	0	0	0.11213721	Fail
70	71	15703829	738	Germany	Male	58	2	133745.44	4	1	0	28373.86	1	1	0.98326033	Succeed
71	72	15620380	813	France	Male	29	6	0.0	1	1	0	33953.87	0	0	0.12065945	Fail
72	73	15812554	657	Spain	Female	37	0	163607.18	1	0	1	44203.55	0	0	0.118165575	Fail
73	74	15779088	604	Germany	Female	25	5	157780.84	2	1	1	58426.81	0	0	0.042137798	Fail
74	75	15770847	519	France	Male	36	9	0.0	2	0	1	145562.4	0	0	0.027198821	Fail
75	76	15780997	735	France	Female	21	1	178718.19	2	1	0	22388.0	0	0	0.09710174	Fail
76	77	15614085	664	France	Male	55	8	0.0	2	1	1	139161.64	0	0	0.109390855	Fail
77	78	15662121	678	France	Female	32	9	0.0	1	1	1	148210.64	0	0	0.09837095	Fail
78	79	15575221	757	Spain	Male	33	5	77253.22	1	0	1	194239.63	0	0	0.052148927	Fail
79	80	15803172	416	Germany	Female	41	10	122189.66	2	1	0	98301.61	0	0	0.33446082	Fail
80	81	15706057	665	France	Female	34	1	96645.54	2	0	0	171413.66	0	0	0.063620545	Fail
81	82	15663742	777	France	Female	32	2	0.0	1	1	0	136458.19	1	0	0.19074763	Fail
82	83	15641768	543	France	Female	36	3	0.0	2	0	0	26019.59	0	0	0.07802206	Fail
83	84	15701200	506	France	Female	34	4	90307.62	1	1	1	159235.29	0	0	0.07840076	Fail
84	85	15738787	493	France	Female	46	4	0.0	2	1	0	1907.66	0	0	0.22470018	Fail
85	86	15805290	652	Spain	Female	75	10	0.0	2	1	1	114675.75	0	0	0.015954098	Fail
86	87	15762454	750	Spain	Male	22	3	121681.82	1	1	0	128643.35	1	0	0.12547365	Fail
87	88	15625795	729	France	Male	30	9	0.0	2	1	0	151869.35	0	0	0.029671937	Fail
88	89	15622933	646	France	Female	46	4	0.0	3	1	0	93251.42	1	1	0.88423485	Succeed
89	90	15767990	635	Germany	Female	28	3	81623.67	2	1	1	156791.36	0	0	0.03309541	Fail
90	91	15757571	647	Spain	Female	44	5	0.0	3	1	1	174205.22	1	1	0.7940971	Succeed
91	92	15731547	808	France	Male	45	7	118626.55	2	1	0	147132.46	0	0	0.17998828	Fail
92	93	15809284	524	France	Female	36	10	0.0	2	1	0	109614.57	0	0	0.09192309	Fail
93	94	15640671	769	France	Male	29	8	0.0	2	1	1	172290.61	0	0	0.015480092	Fail
94	95	15677002	730	Spain	Male	42	4	0.0	2	0	1	85982.47	0	0	0.054693192	Fail
95	96	15699497	515	Spain	Male	35	10	176273.95	1	0	1	121277.78	0	0	0.080396116	Fail
96	97	15738757	773	Spain	Male	41	9	102827.44	1	0	1	64595.25	0	0	0.0944611	Fail
97	98	15693719	814	Germany	Male	29	8	97086.4	2	1	1	197276.13	0	0	0.022782372	Fail
98	99	15604384	710	Spain	Male	22	8	0.0	2	0	0	99645.04	0	0	0.033141878	Fail
